,date_new,PM2.5_avg_conc,PRCP,TAVG
1,01-01-2008,NA,0,30
2,02-01-2008,NA,0,30
3,03-01-2008,NA,0,36
4,04-01-2008,NA,0,31
5,05-01-2008,NA,0,28
6,06-01-2008,NA,0,35
7,07-01-2008,NA,0,32
8,08-01-2008,NA,0,35
9,09-01-2008,NA,0,29
10,10-01-2008,NA,0,24
11,11-01-2008,NA,0,30
12,12-01-2008,NA,0,26
13,13-01-2008,NA,0,22
14,14-01-2008,NA,0,20
15,15-01-2008,NA,0,20
16,16-01-2008,NA,0,24
17,17-01-2008,NA,0,22
18,18-01-2008,NA,0,24
19,19-01-2008,NA,0,22
20,20-01-2008,NA,0,27
21,21-01-2008,NA,0,25
22,22-01-2008,NA,0,24
23,23-01-2008,NA,0,20
24,24-01-2008,NA,0,24
25,25-01-2008,NA,0,25
26,26-01-2008,NA,0,27
27,27-01-2008,NA,0,27
28,28-01-2008,NA,0,30
29,29-01-2008,NA,0,25
30,30-01-2008,NA,0,26
31,31-01-2008,NA,0,27
32,01-02-2008,NA,0,30
33,02-02-2008,NA,0,29
34,03-02-2008,NA,0,28
35,04-02-2008,NA,0,26
36,05-02-2008,NA,0,29
37,06-02-2008,NA,0,28
38,07-02-2008,NA,0,28
39,08-02-2008,NA,0,28
40,09-02-2008,NA,0,28
41,10-02-2008,NA,0,30
42,11-02-2008,NA,0,28
43,12-02-2008,NA,0,24
44,13-02-2008,NA,0,32
45,14-02-2008,NA,0,34
46,15-02-2008,NA,0,30
47,16-02-2008,NA,0,32
48,17-02-2008,NA,0,32
49,18-02-2008,NA,0,30
50,19-02-2008,NA,0,37
51,20-02-2008,NA,0,39
52,21-02-2008,NA,0,38
53,22-02-2008,NA,0,42
54,23-02-2008,NA,0,31
55,24-02-2008,NA,0,29
56,25-02-2008,NA,0,33
57,26-02-2008,NA,0,41
58,27-02-2008,NA,0,49
59,28-02-2008,NA,0,47
60,29-02-2008,NA,0,48
61,01-03-2008,NA,0,45
62,02-03-2008,NA,0,47
63,03-03-2008,NA,0,47
64,04-03-2008,NA,0,45
65,05-03-2008,NA,0,45
66,06-03-2008,NA,0,48
67,07-03-2008,NA,0,48
68,08-03-2008,NA,0,46
69,09-03-2008,NA,0,49
70,10-03-2008,NA,0,55
71,11-03-2008,NA,0,51
72,12-03-2008,NA,0,45
73,13-03-2008,NA,0,50
74,14-03-2008,NA,0,48
75,15-03-2008,NA,0,53
76,16-03-2008,NA,0,51
77,17-03-2008,NA,0,50
78,18-03-2008,NA,0,49
79,19-03-2008,NA,0,45
80,20-03-2008,NA,0,47
81,21-03-2008,NA,0.19,46
82,22-03-2008,NA,0,49
83,23-03-2008,NA,0,57
84,24-03-2008,NA,0,49
85,25-03-2008,NA,0,50
86,26-03-2008,NA,0,51
87,27-03-2008,NA,0,51
88,28-03-2008,NA,0.21,42
89,29-03-2008,NA,0.06,40
90,30-03-2008,NA,0,49
91,31-03-2008,NA,0,53
92,01-04-2008,NA,0.01,53
93,02-04-2008,NA,0,55
94,03-04-2008,NA,0,56
95,04-04-2008,NA,0,61
96,05-04-2008,NA,0,61
97,06-04-2008,NA,0.04,59
98,07-04-2008,NA,0,56
99,08-04-2008,155,0,57
100,09-04-2008,78.66666667,0.02,61
101,10-04-2008,90.29166667,0.02,56
102,11-04-2008,69,0.28,54
103,12-04-2008,67.79166667,0,54
104,13-04-2008,64.91666667,0,60
105,14-04-2008,110.875,0,67
106,15-04-2008,176.7083333,0,66
107,16-04-2008,200.875,0,69
108,17-04-2008,183.25,0,69
109,18-04-2008,163.375,0,70
110,19-04-2008,149.5416667,0,67
111,20-04-2008,58.5,1.16,56
112,21-04-2008,25.91666667,0.88,54
113,22-04-2008,32.5,0.06,55
114,23-04-2008,32.625,0,56
115,24-04-2008,74,0.03,57
116,25-04-2008,65.75,0,60
117,26-04-2008,81.58333333,0,60
118,27-04-2008,60.79166667,0,61
119,28-04-2008,150.2916667,0,63
120,29-04-2008,220.5416667,0,69
121,30-04-2008,109.4166667,0,74
122,01-05-2008,158.5833333,0,69
123,02-05-2008,194.625,0,69
124,03-05-2008,136.4583333,1.53,63
125,04-05-2008,31.75,0,62
126,05-05-2008,78.70833333,0,66
127,06-05-2008,142.5,0,73
128,07-05-2008,75.22727273,0.04,65
129,08-05-2008,53.83333333,0,67
130,09-05-2008,62,0,62
131,10-05-2008,32.20833333,0,63
132,11-05-2008,19.5,0.46,52
133,12-05-2008,20.45833333,0.02,56
134,13-05-2008,47.75,0,62
135,14-05-2008,112.9090909,0.26,62
136,15-05-2008,100.6666667,0,65
137,16-05-2008,159.5833333,0.01,70
138,17-05-2008,145.2083333,0.18,61
139,18-05-2008,66.66666667,0,65
140,19-05-2008,56.41666667,0,71
141,20-05-2008,117,0,69
142,21-05-2008,78.86363636,0,76
143,22-05-2008,103.5416667,0,73
144,23-05-2008,208.75,0,76
145,24-05-2008,122.2916667,0,80
146,25-05-2008,120.4583333,0,78
147,26-05-2008,168.9166667,0,77
148,27-05-2008,132,0.04,79
149,28-05-2008,103.25,0,76
150,29-05-2008,66.375,0,70
151,30-05-2008,30.58333333,0,73
152,31-05-2008,104.25,0,71
153,01-06-2008,20.41666667,0.01,73
154,02-06-2008,30.08333333,0,71
155,03-06-2008,68.625,0.23,63
156,04-06-2008,46,0.87,68
157,05-06-2008,104.2083333,0,70
158,06-06-2008,80.375,0,71
159,07-06-2008,138.6666667,0,71
160,08-06-2008,150.0416667,0,76
161,09-06-2008,92.25,0,77
162,10-06-2008,110.7083333,0,76
163,11-06-2008,48.08333333,0,79
164,12-06-2008,83.79166667,0,78
165,13-06-2008,148.125,0,75
166,14-06-2008,132.25,0.78,70
167,15-06-2008,111.7083333,0,74
168,16-06-2008,70.54166667,0,74
169,17-06-2008,47.45833333,1.85,69
170,18-06-2008,85.875,0,71
171,19-06-2008,188.0833333,0,78
172,20-06-2008,174.2083333,0.15,80
173,21-06-2008,82.20833333,0,83
174,22-06-2008,145.7916667,0,82
175,23-06-2008,69.54166667,0.54,75
176,24-06-2008,94.45833333,0,75
177,25-06-2008,152.125,0.02,76
178,26-06-2008,77.20833333,0.02,72
179,27-06-2008,135.875,0.13,73
180,28-06-2008,65.41666667,0.04,74
181,29-06-2008,122.2916667,0.19,73
182,30-06-2008,116.625,0.11,76
183,01-07-2008,65.54166667,0.06,72
184,02-07-2008,93.91666667,0,77
185,03-07-2008,101.625,0,85
186,04-07-2008,138.0416667,0,84
187,05-07-2008,30.54166667,1.09,76
188,06-07-2008,25.66666667,0.01,83
189,07-07-2008,80.125,0,82
190,08-07-2008,118.9090909,0.04,77
191,09-07-2008,61,0.01,78
192,10-07-2008,NA,0,82
193,11-07-2008,157,0,81
194,12-07-2008,43.36363636,0,85
195,13-07-2008,53.9375,0,84
196,14-07-2008,70.04166667,0.02,78
197,15-07-2008,27.83333333,1.33,74
198,16-07-2008,90.5,0,81
199,17-07-2008,92.61538462,0,85
200,18-07-2008,72.375,0.31,79
201,19-07-2008,58.8125,0,78
202,20-07-2008,43.53333333,0,81
203,21-07-2008,74.8125,0,81
204,22-07-2008,75.15384615,0,84
205,23-07-2008,137.4705882,0,84
206,24-07-2008,179.2631579,0,83
207,25-07-2008,156.6666667,0,84
